chain_id,i,range
0053053e5a,49,124.0
0053053e5a,50,123.55
0053053e5a,51,123.1
0053053e5a,52,121.3
0053053e5a,53,121.7
0053053e5a,54,121.85
0053053e5a,55,122.0
0053053e5a,56,121.65
0053053e5a,57,121.3
0053053e5a,58,120.5
0053053e5a,59,119.7
0053053e5a,60,120.3
0053053e5a,61,120.86666666666666
0053053e5a,62,121.43333333333334
0053053e5a,63,122.0
0053053e5a,64,122.0
0053053e5a,65,121.15
0053053e5a,66,120.3
0053053e5a,67,122.7
0053053e5a,68,121.8
0053053e5a,69,119.6
0053053e5a,70,123.3
0053053e5a,71,123.6
0053053e5a,72,121.3
0053053e5a,73,122.0
0053053e5a,74,123.4
0053053e5a,75,123.6
0053053e5a,76,122.5
0053053e5a,77,123.8
0053053e5a,78,125.1
0053053e5a,79,124.1
0053053e5a,80,123.9
0053053e5a,81,124.9
0053053e5a,82,121.5
0053053e5a,83,123.2
0053053e5a,84,123.4
0053053e5a,85,123.6
0053053e5a,86,123.3
0053053e5a,87,123.0
0053053e5a,88,122.2
0053053e5a,89,122.9
0053053e5a,90,123.6
0053053e5a,91,124.3
0053053e5a,92,123.96666666666667
0053053e5a,93,123.63333333333333
0053053e5a,94,123.3
0053053e5a,95,123.7
0053053e5a,96,123.45
0053053e5a,97,123.2
0053053e5a,98,122.3
0053053e5a,99,123.2
009ac5e872,0,324.6
009ac5e872,1,322.2
009ac5e872,2,322.1
009ac5e872,3,322.0
009ac5e872,4,322.05
009ac5e872,5,322.1
009ac5e872,6,323.6
009ac5e872,7,325.1
009ac5e872,8,325.1
009ac5e872,9,322.8
009ac5e872,10,323.2
009ac5e872,11,322.825
009ac5e872,12,322.45
009ac5e872,13,322.075
009ac5e872,14,321.7
009ac5e872,15,322.5
009ac5e872,16,323.3
009ac5e872,17,319.8
009ac5e872,18,319.9
009ac5e872,19,319.5
009ac5e872,20,319.1
009ac5e872,21,318.8666666666667
009ac5e872,22,318.6333333333333
009ac5e872,23,318.4
009ac5e872,24,319.1
009ac5e872,25,320.7
009ac5e872,26,320.2
009ac5e872,27,319.7
009ac5e872,28,319.2
009ac5e872,29,318.5
009ac5e872,30,317.8
009ac5e872,31,318.4
009ac5e872,32,319.9
009ac5e872,33,321.4
009ac5e872,34,322.9
009ac5e872,35,324.4
009ac5e872,36,325.9
009ac5e872,37,327.4
009ac5e872,38,322.95
009ac5e872,39,318.5
009ac5e872,40,319.6
009ac5e872,41,320.4
009ac5e872,42,321.2
009ac5e872,43,320.35
009ac5e872,44,319.5
009ac5e872,45,318.2
009ac5e872,46,319.0
009ac5e872,47,319.8
009ac5e872,48,320.22857142857146
009ac5e872,49,320.65714285714284
009ac5e872,50,321.0857142857143
009ac5e872,51,321.51428571428573
009ac5e872,52,321.9428571428572
009ac5e872,53,322.37142857142857
009ac5e872,54,322.8
009ac5e872,55,323.7
009ac5e872,56,325.9
009ac5e872,57,324.56666666666666
009ac5e872,58,323.2333333333333
009ac5e872,59,321.9
009ac5e872,60,321.0
009ac5e872,61,321.1
009ac5e872,62,321.2
009ac5e872,63,321.29999999999995
009ac5e872,64,321.4
009ac5e872,65,319.3
009ac5e872,66,323.3
009ac5e872,67,322.15
009ac5e872,68,321.0
009ac5e872,69,319.9
009ac5e872,70,320.72499999999997
009ac5e872,71,321.54999999999995
009ac5e872,72,322.375
009ac5e872,73,323.2
009ac5e872,74,318.9
009ac5e872,75,320.8
009ac5e872,76,322.7
009ac5e872,77,324.6
009ac5e872,78,322.4
009ac5e872,79,320.2
009ac5e872,80,319.7
009ac5e872,81,319.2
009ac5e872,82,319.5285714285714
009ac5e872,83,319.85714285714283
009ac5e872,84,320.18571428571425
009ac5e872,85,320.51428571428573
009ac5e872,86,320.84285714285716
009ac5e872,87,321.1714285714286
009ac5e872,88,321.5
009ac5e872,89,321.65
009ac5e872,90,321.8
009ac5e872,91,319.7
009ac5e872,92,322.8
009ac5e872,93,319.5
009ac5e872,94,324.8
009ac5e872,95,325.2
009ac5e872,96,324.2
009ac5e872,97,322.65
009ac5e872,98,321.1
009ac5e872,99,325.0
00f87cb03e,0,318.2
00f87cb03e,1,318.6
00f87cb03e,2,319.6
00f87cb03e,3,318.0
00f87cb03e,4,318.6
00f87cb03e,5,319.4
00f87cb03e,6,315.9
00f87cb03e,7,318.2
00f87cb03e,8,320.2
00f87cb03e,9,319.4
00f87cb03e,10,317.5
00f87cb03e,11,319.8
00f87cb03e,12,319.4
00f87cb03e,13,319.1
00f87cb03e,14,320.7
00f87cb03e,15,318.2
00f87cb03e,16,317.1
00f87cb03e,17,319.0
00f87cb03e,18,318.7
00f87cb03e,19,318.9
00f87cb03e,20,321.5
00f87cb03e,21,321.7
00f87cb03e,22,319.2
00f87cb03e,23,318.0
00f87cb03e,24,319.1
00f87cb03e,25,318.5
00f87cb03e,26,319.0
00f87cb03e,27,317.5
00f87cb03e,28,317.9
00f87cb03e,29,319.3
00f87cb03e,30,326.4
00f87cb03e,31,319.4
00f87cb03e,32,320.5
00f87cb03e,33,320.3
00f87cb03e,34,320.6
00f87cb03e,35,320.8
00f87cb03e,36,313.5
00f87cb03e,37,329.7
00f87cb03e,38,323.6
00f87cb03e,39,321.2
00f87cb03e,40,322.7
00f87cb03e,41,321.0
00f87cb03e,42,325.8
00f87cb03e,43,323.5
00f87cb03e,44,325.1
00f87cb03e,45,321.7
00f87cb03e,46,324.4
00f87cb03e,47,323.6
00f87cb03e,48,322.6
00f87cb03e,49,322.3
00f87cb03e,50,321.6
00f87cb03e,51,323.1
00f87cb03e,52,324.5
00f87cb03e,53,323.0
00f87cb03e,54,322.0
00f87cb03e,55,324.8
00f87cb03e,56,321.6
00f87cb03e,57,313.6
00f87cb03e,58,322.3
00f87cb03e,59,323.7
00f87cb03e,60,320.5
00f87cb03e,61,323.5
00f87cb03e,62,323.3
00f87cb03e,63,323.7
00f87cb03e,64,322.7
00f87cb03e,65,323.0
00f87cb03e,66,321.5
00f87cb03e,67,321.8
00f87cb03e,68,321.3
00f87cb03e,69,324.2
00f87cb03e,70,323.7
00f87cb03e,71,322.9
00f87cb03e,72,322.1
00f87cb03e,73,324.3
00f87cb03e,74,324.4
00f87cb03e,75,322.7
00f87cb03e,76,324.7
00f87cb03e,77,324.4
00f87cb03e,78,324.0
00f87cb03e,79,327.2
00f87cb03e,80,322.7
00f87cb03e,81,323.6
00f87cb03e,82,324.3
00f87cb03e,83,325.3
00f87cb03e,84,325.5
00f87cb03e,85,325.1
00f87cb03e,86,322.8
00f87cb03e,87,325.0
00f87cb03e,88,322.1
00f87cb03e,89,321.4
00f87cb03e,90,325.4
00f87cb03e,91,325.2
00f87cb03e,92,324.3
00f87cb03e,93,323.75
00f87cb03e,94,323.2
00f87cb03e,95,329.9
00f87cb03e,96,324.1
00f87cb03e,97,325.7
00f87cb03e,98,328.5
00f87cb03e,99,330.2
0165a57d79,0,253.4
0165a57d79,1,252.5
0165a57d79,2,252.3
0165a57d79,3,252.10000000000002
0165a57d79,4,251.9
0165a57d79,5,251.25
0165a57d79,6,250.60000000000002
0165a57d79,7,249.95000000000002
0165a57d79,8,249.3
0165a57d79,9,248.9
0165a57d79,10,248.8
0165a57d79,11,248.7
0165a57d79,12,248.25
0165a57d79,13,247.8
0165a57d79,14,247.4
0165a57d79,15,246.9
0165a57d79,16,246.4
0165a57d79,17,246.60000000000002
0165a57d79,18,246.8
0165a57d79,19,246.2
0165a57d79,20,245.6
0165a57d79,21,244.4
0165a57d79,22,246.9
0165a57d79,23,244.9
0165a57d79,24,245.95
0165a57d79,25,247.0
0165a57d79,26,249.6
0165a57d79,27,245.5
0165a57d79,28,244.8
0165a57d79,29,243.4
0165a57d79,30,244.8
0165a57d79,31,241.5
0165a57d79,32,240.1
0165a57d79,33,241.0
0165a57d79,34,238.0
0165a57d79,35,238.15
0165a57d79,36,238.3
0165a57d79,37,239.05
0165a57d79,38,239.8
0165a57d79,39,241.0
0165a57d79,40,239.2
0165a57d79,41,237.4
0165a57d79,42,238.3
0165a57d79,43,239.2
0165a57d79,44,240.1
0165a57d79,45,240.1
0165a57d79,46,240.1
0165a57d79,47,240.4
0165a57d79,48,240.0
0165a57d79,49,238.85
0165a57d79,50,237.7
0165a57d79,51,240.3
0165a57d79,52,238.1
0165a57d79,53,240.9
0165a57d79,54,237.3
0165a57d79,55,237.85000000000002
0165a57d79,56,238.4
0165a57d79,57,239.5
0165a57d79,58,240.6
0165a57d79,59,237.7
0165a57d79,60,238.5
0165a57d79,61,239.3
0165a57d79,62,237.5
0165a57d79,63,238.2
0165a57d79,64,238.9
0165a57d79,65,240.4
0165a57d79,66,242.6
0165a57d79,67,240.5
0165a57d79,68,238.4
0165a57d79,69,235.1
0165a57d79,70,238.8
0165a57d79,71,238.0
0165a57d79,72,237.7
0165a57d79,73,237.25
0165a57d79,74,236.8
0165a57d79,75,236.35
0165a57d79,76,235.9
0165a57d79,77,234.66
0165a57d79,78,233.42
0165a57d79,79,232.18
0165a57d79,80,230.94
0165a57d79,81,229.7
0165a57d79,82,230.6
0165a57d79,83,233.0
0165a57d79,84,231.6
0165a57d79,85,231.14999999999998
0165a57d79,86,230.7
0165a57d79,87,232.2
0165a57d79,88,233.0
0165a57d79,89,231.5
0165a57d79,90,232.63333333333333
0165a57d79,91,233.76666666666668
0165a57d79,92,234.9
0165a57d79,93,234.6
0165a57d79,94,234.8
0165a57d79,95,231.9
0165a57d79,96,234.0
0165a57d79,97,233.0
0165a57d79,98,232.4
0165a57d79,99,232.2
01d9749948,0,366.0
01d9749948,1,367.2
01d9749948,2,369.4
01d9749948,3,367.9
01d9749948,4,367.8666666666667
01d9749948,5,367.8333333333333
01d9749948,6,367.8
01d9749948,7,364.95000000000005
01d9749948,8,362.1
01d9749948,9,365.1
01d9749948,10,361.2
01d9749948,11,361.6
01d9749948,12,362.0
01d9749948,13,360.5
01d9749948,14,359.5
01d9749948,15,360.6
01d9749948,16,358.0
01d9749948,17,360.5
01d9749948,18,358.2
01d9749948,19,359.95
01d9749948,20,361.7
01d9749948,21,356.8
01d9749948,22,358.1
01d9749948,23,359.3
01d9749948,24,359.3
01d9749948,25,359.3
01d9749948,26,359.3
01d9749948,27,359.9
01d9749948,28,360.8
01d9749948,29,359.0
01d9749948,30,359.95
01d9749948,31,360.9
01d9749948,32,362.0
01d9749948,33,361.0
01d9749948,34,362.1
01d9749948,35,360.8
01d9749948,36,360.44
01d9749948,37,360.08
01d9749948,38,359.72
01d9749948,39,359.36
01d9749948,40,359.0
01d9749948,41,361.65
01d9749948,42,364.3
01d9749948,43,364.4666666666667
01d9749948,44,364.6333333333333
01d9749948,45,364.8
01d9749948,46,364.8
01d9749948,47,360.4
01d9749948,48,360.75
01d9749948,49,361.1
01d9749948,50,364.2
01d9749948,51,361.29999999999995
01d9749948,52,358.4
01d9749948,53,356.9
01d9749948,54,356.5
01d9749948,55,356.2
01d9749948,56,352.8
01d9749948,57,355.5
01d9749948,58,352.3
01d9749948,59,352.95000000000005
01d9749948,60,353.6
01d9749948,61,357.8
01d9749948,62,358.3
01d9749948,63,358.8
01d9749948,64,359.3
01d9749948,65,356.8
01d9749948,66,354.0
01d9749948,67,355.1
01d9749948,68,355.8
01d9749948,69,356.5
01d9749948,70,357.9
01d9749948,71,358.8
01d9749948,72,358.3
01d9749948,73,357.6
01d9749948,74,358.2
01d9749948,75,356.8
01d9749948,76,351.5
01d9749948,77,354.5
01d9749948,78,346.8
01d9749948,79,355.9
01d9749948,80,354.9
01d9749948,81,355.9
01d9749948,82,352.4
01d9749948,83,355.3
01d9749948,84,354.1
01d9749948,85,352.8
01d9749948,86,351.6
01d9749948,87,350.4
01d9749948,88,349.2
01d9749948,89,351.5
01d9749948,90,353.8
01d9749948,91,350.5
01d9749948,92,347.2
01d9749948,93,346.2
01d9749948,94,347.6
01d9749948,95,349.0
01d9749948,96,346.8
01d9749948,97,349.5
01d9749948,98,346.9
01d9749948,99,323.04999999999995
01f0f7459b,0,299.2
01f0f7459b,1,299.6
01f0f7459b,2,300.0
01f0f7459b,3,299.9
01f0f7459b,4,299.8
01f0f7459b,5,299.70000000000005
01f0f7459b,6,299.6
01f0f7459b,7,298.0
01f0f7459b,8,298.07142857142856
01f0f7459b,9,298.14285714285717
01f0f7459b,10,298.2142857142857
01f0f7459b,11,298.2857142857143
01f0f7459b,12,298.35714285714283
01f0f7459b,13,298.42857142857144
01f0f7459b,14,298.5
01f0f7459b,15,298.8
01f0f7459b,16,299.1
01f0f7459b,17,301.2
01f0f7459b,18,299.9
01f0f7459b,19,300.3
01f0f7459b,20,300.75
01f0f7459b,21,301.2
01f0f7459b,22,300.2
01f0f7459b,23,299.43333333333334
01f0f7459b,24,298.66666666666663
01f0f7459b,25,297.9
01f0f7459b,26,299.0
01f0f7459b,27,299.9
01f0f7459b,28,300.8
01f0f7459b,29,301.7
01f0f7459b,30,301.79999999999995
01f0f7459b,31,301.9
01f0f7459b,32,302.56
01f0f7459b,33,303.21999999999997
01f0f7459b,34,303.88
01f0f7459b,35,304.53999999999996
01f0f7459b,36,305.2
01f0f7459b,37,303.1
01f0f7459b,38,305.6
01f0f7459b,39,304.9
01f0f7459b,40,306.5
01f0f7459b,41,305.3
01f0f7459b,42,307.7
01f0f7459b,43,307.15
01f0f7459b,44,306.6
01f0f7459b,45,306.15
01f0f7459b,46,305.7
01f0f7459b,47,306.1
01f0f7459b,48,306.5
01f0f7459b,49,307.1
01f0f7459b,50,305.75
01f0f7459b,51,304.4
01f0f7459b,52,305.3
01f0f7459b,53,304.25
01f0f7459b,54,303.2
01f0f7459b,55,306.7
01f0f7459b,56,305.9
01f0f7459b,57,307.8
01f0f7459b,58,304.9
01f0f7459b,59,305.1
01f0f7459b,60,305.3
01f0f7459b,61,303.2
01f0f7459b,62,303.8
01f0f7459b,63,304.43333333333334
01f0f7459b,64,305.06666666666666
01f0f7459b,65,305.7
01f0f7459b,66,304.1
01f0f7459b,67,302.5
01f0f7459b,68,302.12
01f0f7459b,69,301.74
01f0f7459b,70,301.36
01f0f7459b,71,300.98
01f0f7459b,72,300.6
01f0f7459b,73,301.125
01f0f7459b,74,301.65
01f0f7459b,75,302.175
01f0f7459b,76,302.7
01f0f7459b,77,302.79999999999995
01f0f7459b,78,302.9
01f0f7459b,79,301.6
01f0f7459b,80,300.3
01f0f7459b,81,300.8
01f0f7459b,82,301.3
01f0f7459b,83,301.8
01f0f7459b,84,301.4
01f0f7459b,85,302.4
01f0f7459b,86,302.0
01f0f7459b,87,302.2
01f0f7459b,88,302.4
01f0f7459b,89,302.6
01f0f7459b,90,302.8
01f0f7459b,91,303.0
01f0f7459b,92,303.1
01f0f7459b,93,304.1
01f0f7459b,94,305.1
01f0f7459b,95,305.85
01f0f7459b,96,306.6
01f0f7459b,97,304.3
01f0f7459b,98,305.5
01f0f7459b,99,306.7
024e86dc87,0,322.8
024e86dc87,1,321.4
024e86dc87,2,320.4
024e86dc87,3,318.9
024e86dc87,4,319.0
024e86dc87,5,319.5
024e86dc87,6,320.0
024e86dc87,7,320.5
024e86dc87,8,321.0
024e86dc87,9,318.3
024e86dc87,10,318.1
024e86dc87,11,318.125
024e86dc87,12,318.15
024e86dc87,13,318.175
024e86dc87,14,318.2
024e86dc87,15,319.2
024e86dc87,16,317.9
024e86dc87,17,319.09999999999997
024e86dc87,18,320.3
024e86dc87,19,321.5
024e86dc87,20,320.3
024e86dc87,21,319.9
024e86dc87,22,318.1
024e86dc87,23,318.3
024e86dc87,24,318.6
024e86dc87,25,319.1
024e86dc87,26,319.6
024e86dc87,27,319.20000000000005
024e86dc87,28,318.8
024e86dc87,29,315.40000000000003
024e86dc87,30,312.0
024e86dc87,31,308.6
024e86dc87,32,319.1
024e86dc87,33,316.8
024e86dc87,34,316.8
024e86dc87,35,318.4
024e86dc87,36,318.5
024e86dc87,37,318.6
024e86dc87,38,314.8
024e86dc87,39,314.4
024e86dc87,40,315.4
024e86dc87,41,316.4
024e86dc87,42,320.2
024e86dc87,43,317.4
024e86dc87,44,316.5
024e86dc87,45,316.6
024e86dc87,46,316.7
024e86dc87,47,316.9
024e86dc87,48,317.1
024e86dc87,49,318.0
024e86dc87,50,320.5
024e86dc87,51,318.1
024e86dc87,52,319.25
024e86dc87,53,320.4
024e86dc87,54,320.29999999999995
024e86dc87,55,320.2
024e86dc87,56,319.5
024e86dc87,57,319.7
024e86dc87,58,317.5
024e86dc87,59,320.0
024e86dc87,60,319.0
024e86dc87,61,320.4
024e86dc87,62,319.6
024e86dc87,63,318.5
024e86dc87,64,321.1
024e86dc87,65,319.5
024e86dc87,66,320.9
024e86dc87,67,322.2
024e86dc87,68,322.2
024e86dc87,69,322.725
024e86dc87,70,323.25
024e86dc87,71,323.775
024e86dc87,72,324.3
024e86dc87,73,319.7
024e86dc87,74,321.3
024e86dc87,75,322.9
024e86dc87,76,324.5
024e86dc87,77,326.1
024e86dc87,78,321.2
024e86dc87,79,321.0
024e86dc87,80,321.5
024e86dc87,81,322.0
024e86dc87,82,322.43333333333334
024e86dc87,83,322.8666666666667
024e86dc87,84,323.3
024e86dc87,85,321.6
024e86dc87,86,322.6
024e86dc87,87,321.0
024e86dc87,88,322.75
024e86dc87,89,324.5
024e86dc87,90,324.5
024e86dc87,91,322.1
024e86dc87,92,319.3
024e86dc87,93,325.1
024e86dc87,94,320.3
024e86dc87,95,316.08333333333337
024e86dc87,96,311.8666666666667
024e86dc87,97,307.65
024e86dc87,98,303.43333333333334
024e86dc87,99,299.2166666666667
031dbad3c0,0,295.0
031dbad3c0,1,294.9
031dbad3c0,2,295.2
031dbad3c0,3,295.5
031dbad3c0,4,296.5
031dbad3c0,5,296.4
031dbad3c0,6,296.79999999999995
031dbad3c0,7,297.2
031dbad3c0,8,294.6
031dbad3c0,9,293.95000000000005
031dbad3c0,10,293.3
031dbad3c0,11,291.6
031dbad3c0,12,293.8
031dbad3c0,13,294.9
031dbad3c0,14,295.42499999999995
031dbad3c0,15,295.95
031dbad3c0,16,296.475
031dbad3c0,17,297.0
031dbad3c0,18,298.9
031dbad3c0,19,297.9
031dbad3c0,20,299.6
031dbad3c0,21,300.12
031dbad3c0,22,300.64
031dbad3c0,23,301.16
031dbad3c0,24,301.68
031dbad3c0,25,302.2
031dbad3c0,26,301.25
031dbad3c0,27,300.3
031dbad3c0,28,298.8
031dbad3c0,29,299.2
031dbad3c0,30,297.2
031dbad3c0,31,295.2
031dbad3c0,32,294.7
031dbad3c0,33,295.75
031dbad3c0,34,296.8
031dbad3c0,35,296.3
031dbad3c0,36,296.3571428571429
031dbad3c0,37,296.4142857142857
031dbad3c0,38,296.4714285714286
031dbad3c0,39,296.5285714285714
031dbad3c0,40,296.5857142857143
031dbad3c0,41,296.6428571428571
031dbad3c0,42,296.7
031dbad3c0,43,294.45
031dbad3c0,44,292.2
031dbad3c0,45,296.0
031dbad3c0,46,294.2
031dbad3c0,47,294.5
031dbad3c0,48,295.6
031dbad3c0,49,292.7
031dbad3c0,50,292.4
031dbad3c0,51,299.4
031dbad3c0,52,298.4
031dbad3c0,53,297.7
031dbad3c0,54,297.1
031dbad3c0,55,297.3
031dbad3c0,56,297.5
031dbad3c0,57,297.7
031dbad3c0,58,297.9
031dbad3c0,59,303.2
031dbad3c0,60,298.1
031dbad3c0,61,298.35
031dbad3c0,62,298.6
031dbad3c0,63,300.1
031dbad3c0,64,299.9
031dbad3c0,65,299.7
031dbad3c0,66,299.65
031dbad3c0,67,299.6
031dbad3c0,68,298.6333333333333
031dbad3c0,69,297.6666666666667
031dbad3c0,70,296.7
031dbad3c0,71,297.62
031dbad3c0,72,298.54
031dbad3c0,73,299.46
031dbad3c0,74,300.38
031dbad3c0,75,301.3
031dbad3c0,76,300.7
031dbad3c0,77,300.95
031dbad3c0,78,301.2
031dbad3c0,79,302.6
031dbad3c0,80,303.1
031dbad3c0,81,298.2
031dbad3c0,82,298.41666666666663
031dbad3c0,83,298.6333333333333
031dbad3c0,84,298.85
031dbad3c0,85,299.06666666666666
031dbad3c0,86,299.2833333333333
031dbad3c0,87,299.5
031dbad3c0,88,298.6
031dbad3c0,89,297.7
031dbad3c0,90,296.79999999999995
031dbad3c0,91,295.9
031dbad3c0,92,295.9
031dbad3c0,93,296.275
031dbad3c0,94,296.65
031dbad3c0,95,297.025
031dbad3c0,96,297.4
031dbad3c0,97,296.6
031dbad3c0,98,297.25
031dbad3c0,99,297.9
0348bf135f,0,434.8
0348bf135f,1,435.22
0348bf135f,2,435.64
0348bf135f,3,436.06
0348bf135f,4,436.47999999999996
0348bf135f,5,436.9
0348bf135f,6,435.7
0348bf135f,7,435.6
0348bf135f,8,435.8
0348bf135f,9,435.8
0348bf135f,10,439.7
0348bf135f,11,436.8
0348bf135f,12,436.9
0348bf135f,13,438.8
0348bf135f,14,439.6
0348bf135f,15,436.0
0348bf135f,16,439.5
0348bf135f,17,436.4
0348bf135f,18,438.5
0348bf135f,19,438.56666666666666
0348bf135f,20,438.6333333333333
0348bf135f,21,438.7
0348bf135f,22,439.0
0348bf135f,23,423.7
0348bf135f,24,436.9
0348bf135f,25,436.875
0348bf135f,26,436.85
0348bf135f,27,436.825
0348bf135f,28,436.8
0348bf135f,29,436.85
0348bf135f,30,436.9
0348bf135f,31,437.4
0348bf135f,32,436.8666666666667
0348bf135f,33,436.3333333333333
0348bf135f,34,435.8
0348bf135f,35,435.7
0348bf135f,36,436.0
0348bf135f,37,436.3
0348bf135f,38,435.7
0348bf135f,39,437.0
0348bf135f,40,437.8
0348bf135f,41,440.0
0348bf135f,42,442.3
0348bf135f,43,440.70000000000005
0348bf135f,44,439.1
0348bf135f,45,439.4
0348bf135f,46,440.5
0348bf135f,47,443.9
0348bf135f,48,441.9
0348bf135f,49,441.5
0348bf135f,50,440.5
0348bf135f,51,440.4
0348bf135f,52,439.0
0348bf135f,53,439.6
0348bf135f,54,438.8
0348bf135f,55,437.8
0348bf135f,56,438.2
0348bf135f,57,437.5333333333333
0348bf135f,58,436.8666666666667
0348bf135f,59,436.2
0348bf135f,60,435.8
0348bf135f,61,436.3
0348bf135f,62,436.8
0348bf135f,63,437.3
0348bf135f,64,433.6
0348bf135f,65,436.7
0348bf135f,66,434.4
0348bf135f,67,438.6
0348bf135f,68,440.3
0348bf135f,69,437.3
0348bf135f,70,438.25
0348bf135f,71,439.2
0348bf135f,72,438.6
0348bf135f,73,438.0
0348bf135f,74,437.65
0348bf135f,75,437.3
0348bf135f,76,437.125
0348bf135f,77,436.95000000000005
0348bf135f,78,436.77500000000003
0348bf135f,79,436.6
0348bf135f,80,438.1
0348bf135f,81,437.3
0348bf135f,82,436.8
0348bf135f,83,436.25
0348bf135f,84,435.7
0348bf135f,85,436.9
0348bf135f,86,435.1
0348bf135f,87,435.3
0348bf135f,88,436.2
0348bf135f,89,436.9
0348bf135f,90,435.7
0348bf135f,91,438.9
0348bf135f,92,437.1
0348bf135f,93,437.0
0348bf135f,94,438.0
0348bf135f,95,437.5
0348bf135f,96,436.55
0348bf135f,97,435.6
0348bf135f,98,435.1
0348bf135f,99,328.35
034fb3ea41,0,221.6
034fb3ea41,1,221.6
034fb3ea41,2,225.0
034fb3ea41,3,222.8
034fb3ea41,4,223.6
034fb3ea41,5,222.7
034fb3ea41,6,221.7
034fb3ea41,7,221.75
034fb3ea41,8,221.8
034fb3ea41,9,220.4
034fb3ea41,10,217.9
034fb3ea41,11,218.55
034fb3ea41,12,219.2
034fb3ea41,13,216.8
034fb3ea41,14,217.5
034fb3ea41,15,216.7
034fb3ea41,16,218.5
034fb3ea41,17,222.1
034fb3ea41,18,221.5
034fb3ea41,19,220.9
034fb3ea41,20,223.0
034fb3ea41,21,222.3
034fb3ea41,22,222.0
034fb3ea41,23,222.6
034fb3ea41,24,223.0
034fb3ea41,25,223.4
034fb3ea41,26,223.8
034fb3ea41,27,226.2
034fb3ea41,28,228.1
